month,month_num,start_date,end_date,days,return_pct,win_rate_pct,total_trades,buy_trades,sell_trades,total_invested,total_value,total_profit_loss,profitable_stocks,total_stocks,stop_loss_triggers,trailing_stop_triggers,overbought_sells
October 2024,1,2024-10-15,2024-11-13,29,0,0.0,0,0,0,0,0,0,0,30,0,0,0
September 2024,2,2024-09-15,2024-10-14,29,0,0.0,0,0,0,0,0,0,0,30,0,0,0
August 2024,3,2024-08-15,2024-09-14,30,0,0.0,0,0,0,0,0,0,0,30,0,0,0
July 2024,4,2024-07-15,2024-08-14,30,0,0.0,0,0,0,0,0,0,0,30,0,0,0
