month,month_num,start_date,end_date,days,return_pct,win_rate_pct,total_trades,buy_trades,sell_trades,total_invested,total_value,total_profit_loss,profitable_stocks,total_stocks,stop_loss_triggers,trailing_stop_triggers,overbought_sells
Month 1,1,2025-07-16,2025-08-15,30,0,0.0,0,0,0,0,0,0,0,30,0,0,0
Month 2,2,2025-08-15,2025-09-14,30,0,0.0,0,0,0,0,0,0,0,30,0,0,0
Month 3,3,2025-09-14,2025-10-14,30,0,0.0,0,0,0,0,0,0,0,30,0,0,0
Month 4,4,2025-10-14,2025-11-13,30,0,0.0,0,0,0,0,0,0,0,30,0,0,0
