Datetime,Date,Time,Open,High,Low,Close,Volume
2024-11-15 09:30:00 EST,2024-11-15,09:30:00,225.7,226.92,224.85,225.07,8899041.0
2024-11-15 10:00:00 EST,2024-11-15,10:00:00,225.065,225.3,224.44,224.635,2784575.0
2024-11-15 10:30:00 EST,2024-11-15,10:30:00,224.63,225.17,224.51,224.62,1996031.0
2024-11-15 11:00:00 EST,2024-11-15,11:00:00,224.63,225.24,224.46,225.235,1743675.0
2024-11-15 11:30:00 EST,2024-11-15,11:30:00,225.231,225.48,224.91,225.1,1528881.0
2024-11-15 12:00:00 EST,2024-11-15,12:00:00,225.1,225.18,224.67,224.8724,1509890.0
2024-11-15 12:30:00 EST,2024-11-15,12:30:00,224.87,224.88,224.27,224.73,2385285.0
2024-11-15 13:00:00 EST,2024-11-15,13:00:00,224.735,224.95,224.48,224.735,1894669.0
2024-11-15 13:30:00 EST,2024-11-15,13:30:00,224.72,224.85,224.45,224.665,1577682.0
2024-11-15 14:00:00 EST,2024-11-15,14:00:00,224.67,224.96,224.33,224.3999,1513362.0
2024-11-15 14:30:00 EST,2024-11-15,14:30:00,224.4,224.95,224.3,224.825,1213772.0
2024-11-15 15:00:00 EST,2024-11-15,15:00:00,224.825,225.31,224.8,224.81,1946039.0
2024-11-15 15:30:00 EST,2024-11-15,15:30:00,224.81,225.25,224.5699,224.92,4237934.0
2024-11-15 16:00:00 EST,2024-11-15,16:00:00,224.92,225.2005,224.92,225.01,13239758.0
2024-11-18 09:30:00 EST,2024-11-18,09:30:00,225.22,227.2,225.17,226.82,5045407.0
2024-11-18 10:00:00 EST,2024-11-18,10:00:00,226.85,228.22,226.73,228.1,3011956.0
2024-11-18 10:30:00 EST,2024-11-18,10:30:00,228.1,228.921,228.1,228.43,2323736.0
2024-11-18 11:00:00 EST,2024-11-18,11:00:00,228.41,229.21,228.36,229.065,2010289.0
2024-11-18 11:30:00 EST,2024-11-18,11:30:00,229.0651,229.16,228.37,228.54,1972514.0
2024-11-18 12:00:00 EST,2024-11-18,12:00:00,228.53,228.88,228.36,228.75,959219.0
2024-11-18 12:30:00 EST,2024-11-18,12:30:00,228.75,229.6188,228.635,229.602,1407018.0
2024-11-18 13:00:00 EST,2024-11-18,13:00:00,229.605,229.74,228.95,228.965,1826982.0
2024-11-18 13:30:00 EST,2024-11-18,13:30:00,228.96,229.5,228.67,229.446,1252079.0
2024-11-18 14:00:00 EST,2024-11-18,14:00:00,229.44,229.44,228.6961,228.815,1252544.0
2024-11-18 14:30:00 EST,2024-11-18,14:30:00,228.82,229.0803,228.72,228.855,1452544.0
2024-11-18 15:00:00 EST,2024-11-18,15:00:00,228.85,228.92,228.0337,228.06,1950794.0
2024-11-18 15:30:00 EST,2024-11-18,15:30:00,228.05,228.25,227.3,227.99,3614132.0
2024-11-18 16:00:00 EST,2024-11-18,16:00:00,228.02,228.22,227.9,228.18,16092043.0
2024-11-19 09:30:00 EST,2024-11-19,09:30:00,226.65,228.55,226.65,228.435,3919372.0
2024-11-19 10:00:00 EST,2024-11-19,10:00:00,228.43,228.865,228.03,228.85,1840866.0
2024-11-19 10:30:00 EST,2024-11-19,10:30:00,228.84,229.45,228.68,229.05,1601782.0
2024-11-19 11:00:00 EST,2024-11-19,11:00:00,229.06,229.61,229.05,229.31,1357625.0
2024-11-19 11:30:00 EST,2024-11-19,11:30:00,229.335,229.6799,229.19,229.34,1192568.0
2024-11-19 12:00:00 EST,2024-11-19,12:00:00,229.34,229.86,229.19,229.855,2660531.0
2024-11-19 12:30:00 EST,2024-11-19,12:30:00,229.855,230.16,229.315,229.4,2194718.0
2024-11-19 13:00:00 EST,2024-11-19,13:00:00,229.39,229.82,229.24,229.555,1336784.0
2024-11-19 13:30:00 EST,2024-11-19,13:30:00,229.55,229.965,229.45,229.935,1034618.0
2024-11-19 14:00:00 EST,2024-11-19,14:00:00,229.94,229.99,229.355,229.39,1101471.0
2024-11-19 14:30:00 EST,2024-11-19,14:30:00,229.39,229.5,228.6527,228.79,1479640.0
2024-11-19 15:00:00 EST,2024-11-19,15:00:00,228.78,228.88,228.35,228.44,1402992.0
2024-11-19 15:30:00 EST,2024-11-19,15:30:00,228.44,228.72,227.72,228.3,3954434.0
2024-11-19 16:00:00 EST,2024-11-19,16:00:00,228.28,228.36,228.06,228.2,9421971.0
2024-11-20 09:30:00 EST,2024-11-20,09:30:00,228.06,229.93,227.59,227.63,4099137.0
2024-11-20 10:00:00 EST,2024-11-20,10:00:00,227.63,228.02,226.42,226.515,2265176.0
2024-11-20 10:30:00 EST,2024-11-20,10:30:00,226.525,227.205,226.36,226.94,1586334.0
2024-11-20 11:00:00 EST,2024-11-20,11:00:00,226.95,227.14,226.1,226.18,1417553.0
2024-11-20 11:30:00 EST,2024-11-20,11:30:00,226.19,227.7,225.89,227.48,1811434.0
2024-11-20 12:00:00 EST,2024-11-20,12:00:00,227.47,227.59,226.59,226.8501,981883.0
2024-11-20 12:30:00 EST,2024-11-20,12:30:00,226.85,227.37,226.74,226.89,1152975.0
2024-11-20 13:00:00 EST,2024-11-20,13:00:00,226.88,227.14,226.38,226.8133,964673.0
2024-11-20 13:30:00 EST,2024-11-20,13:30:00,226.79,227.01,226.39,226.9163,844161.0
2024-11-20 14:00:00 EST,2024-11-20,14:00:00,226.91,226.94,226.61,226.81,758226.0
2024-11-20 14:30:00 EST,2024-11-20,14:30:00,226.81,227.46,226.7,227.4,1069365.0
2024-11-20 15:00:00 EST,2024-11-20,15:00:00,227.4,228.0,227.22,227.97,1340484.0
2024-11-20 15:30:00 EST,2024-11-20,15:30:00,227.97,229.0,227.97,229.0,4128967.0
2024-11-20 16:00:00 EST,2024-11-20,16:00:00,229.0,229.15,228.0,228.32,9529264.0
2024-11-21 09:30:00 EST,2024-11-21,09:30:00,228.85,229.93,226.83,227.0,5163005.0
2024-11-21 10:00:00 EST,2024-11-21,10:00:00,227.0,227.32,225.7103,225.95,3514871.0
2024-11-21 10:30:00 EST,2024-11-21,10:30:00,225.94,228.35,225.83,228.34,2597896.0
2024-11-21 11:00:00 EST,2024-11-21,11:00:00,228.34,228.92,228.07,228.77,2167664.0
2024-11-21 11:30:00 EST,2024-11-21,11:30:00,228.75,229.12,228.48,228.8612,1599061.0
2024-11-21 12:00:00 EST,2024-11-21,12:00:00,228.86,229.4699,228.6,229.295,1870798.0
2024-11-21 12:30:00 EST,2024-11-21,12:30:00,229.31,230.155,229.27,229.7833,2114632.0
2024-11-21 13:00:00 EST,2024-11-21,13:00:00,229.78,230.0499,229.63,229.84,1085879.0
2024-11-21 13:30:00 EST,2024-11-21,13:30:00,229.85,229.9337,229.215,229.47,1343626.0
2024-11-21 14:00:00 EST,2024-11-21,14:00:00,229.47,229.67,229.23,229.36,1569148.0
2024-11-21 14:30:00 EST,2024-11-21,14:30:00,229.38,229.425,228.99,229.38,1205229.0
2024-11-21 15:00:00 EST,2024-11-21,15:00:00,229.38,229.58,229.04,229.27,1405850.0
2024-11-21 15:30:00 EST,2024-11-21,15:30:00,229.27,229.29,228.27,228.51,4485837.0
2024-11-21 16:00:00 EST,2024-11-21,16:00:00,228.52,228.91,228.25,228.4001,9372860.0
2024-11-22 09:30:00 EST,2024-11-22,09:30:00,228.21,230.13,228.06,229.98,4197546.0
2024-11-22 10:00:00 EST,2024-11-22,10:00:00,229.95,229.95,229.01,229.28,2079142.0
2024-11-22 10:30:00 EST,2024-11-22,10:30:00,229.28,229.93,229.07,229.5,1773313.0
2024-11-22 11:00:00 EST,2024-11-22,11:00:00,229.5,229.65,228.83,229.48,2681109.0
2024-11-22 11:30:00 EST,2024-11-22,11:30:00,229.4899,229.68,228.97,229.5799,1415980.0
2024-11-22 12:00:00 EST,2024-11-22,12:00:00,229.58,230.12,229.52,229.985,1856591.0
2024-11-22 12:30:00 EST,2024-11-22,12:30:00,229.985,230.53,229.675,230.3901,1747098.0
2024-11-22 13:00:00 EST,2024-11-22,13:00:00,230.39,230.7199,230.11,230.18,1454959.0
2024-11-22 13:30:00 EST,2024-11-22,13:30:00,230.165,230.39,229.82,229.875,1454054.0
2024-11-22 14:00:00 EST,2024-11-22,14:00:00,229.87,229.9931,229.33,229.44,1485180.0
2024-11-22 14:30:00 EST,2024-11-22,14:30:00,229.445,229.64,229.32,229.49,1222039.0
2024-11-22 15:00:00 EST,2024-11-22,15:00:00,229.48,229.492,228.93,229.375,1543252.0
2024-11-22 15:30:00 EST,2024-11-22,15:30:00,229.37,230.2,229.31,229.74,4346016.0
2024-11-22 16:00:00 EST,2024-11-22,16:00:00,229.71,230.1589,229.71,230.1589,9253626.0
2024-11-25 09:30:00 EST,2024-11-25,09:30:00,231.45,233.245,231.42,232.6,6058274.0
2024-11-25 10:00:00 EST,2024-11-25,10:00:00,232.56,232.58,231.6199,232.03,2360966.0
2024-11-25 10:30:00 EST,2024-11-25,10:30:00,231.99,232.801,231.71,231.895,2149863.0
2024-11-25 11:00:00 EST,2024-11-25,11:00:00,231.89,232.32,231.7003,231.71,1650178.0
2024-11-25 11:30:00 EST,2024-11-25,11:30:00,231.705,231.86,230.89,230.9,1670409.0
2024-11-25 12:00:00 EST,2024-11-25,12:00:00,230.89,231.03,229.96,230.2068,2011530.0
2024-11-25 12:30:00 EST,2024-11-25,12:30:00,230.2,230.48,229.74,230.11,1800592.0
2024-11-25 13:00:00 EST,2024-11-25,13:00:00,230.105,230.59,230.07,230.42,1147278.0
2024-11-25 13:30:00 EST,2024-11-25,13:30:00,230.425,230.61,230.19,230.285,971419.0
2024-11-25 14:00:00 EST,2024-11-25,14:00:00,230.28,230.74,230.24,230.685,1086694.0
2024-11-25 14:30:00 EST,2024-11-25,14:30:00,230.665,230.85,230.3,230.68,1260588.0
2024-11-25 15:00:00 EST,2024-11-25,15:00:00,230.68,230.7181,230.095,230.52,1490251.0
2024-11-25 15:30:00 EST,2024-11-25,15:30:00,230.51,233.17,229.845,232.88,11346100.0
2024-11-25 16:00:00 EST,2024-11-25,16:00:00,232.88,232.89,232.26,232.43,50002033.0
2024-11-26 09:30:00 EST,2024-11-26,09:30:00,233.35,235.435,233.33,234.81,7145386.0
2024-11-26 10:00:00 EST,2024-11-26,10:00:00,234.78,235.0,233.65,234.37,3995414.0
2024-11-26 10:30:00 EST,2024-11-26,10:30:00,234.36,235.57,234.21,235.1699,3161060.0
2024-11-26 11:00:00 EST,2024-11-26,11:00:00,235.17,235.46,234.94,235.04,1811381.0
2024-11-26 11:30:00 EST,2024-11-26,11:30:00,235.04,235.1047,234.61,235.03,1629688.0
2024-11-26 12:00:00 EST,2024-11-26,12:00:00,235.02,235.06,234.27,234.48,1350892.0
2024-11-26 12:30:00 EST,2024-11-26,12:30:00,234.485,235.18,234.43,235.0,2094258.0
2024-11-26 13:00:00 EST,2024-11-26,13:00:00,235.005,235.0298,234.35,234.51,1421743.0
2024-11-26 13:30:00 EST,2024-11-26,13:30:00,234.51,235.08,234.445,235.08,1191193.0
2024-11-26 14:00:00 EST,2024-11-26,14:00:00,235.07,235.1,234.56,234.94,1561489.0
2024-11-26 14:30:00 EST,2024-11-26,14:30:00,234.925,235.03,234.73,234.92,1190574.0
2024-11-26 15:00:00 EST,2024-11-26,15:00:00,234.91,235.25,234.725,234.81,1785968.0
2024-11-26 15:30:00 EST,2024-11-26,15:30:00,234.81,235.28,234.58,235.08,4983631.0
2024-11-26 16:00:00 EST,2024-11-26,16:00:00,235.06,235.49,234.9811,235.3076,10154143.0
2024-11-27 09:30:00 EST,2024-11-27,09:30:00,234.44,235.68,233.8101,234.32,3847770.0
2024-11-27 10:00:00 EST,2024-11-27,10:00:00,234.33,235.4786,233.9796,235.15,2702311.0
2024-11-27 10:30:00 EST,2024-11-27,10:30:00,235.16,235.69,234.575,234.62,2263464.0
2024-11-27 11:00:00 EST,2024-11-27,11:00:00,234.62,234.8,234.1546,234.67,1542065.0
2024-11-27 11:30:00 EST,2024-11-27,11:30:00,234.63,234.89,234.12,234.3525,1408601.0
2024-11-27 12:00:00 EST,2024-11-27,12:00:00,234.35,234.6,233.98,234.57,1437213.0
2024-11-27 12:30:00 EST,2024-11-27,12:30:00,234.56,234.74,234.4094,234.73,1318599.0
2024-11-27 13:00:00 EST,2024-11-27,13:00:00,234.73,235.0,234.6125,234.7801,1007013.0
2024-11-27 13:30:00 EST,2024-11-27,13:30:00,234.78,235.02,234.71,234.93,720087.0
2024-11-27 14:00:00 EST,2024-11-27,14:00:00,234.925,235.137,234.77,234.98,962971.0
2024-11-27 14:30:00 EST,2024-11-27,14:30:00,234.98,235.25,234.94,235.06,1037786.0
2024-11-27 15:00:00 EST,2024-11-27,15:00:00,235.065,235.2,234.735,234.84,1007731.0
2024-11-27 15:30:00 EST,2024-11-27,15:30:00,234.8405,235.09,234.585,234.99,2783600.0
2024-11-27 16:00:00 EST,2024-11-27,16:00:00,234.93,235.34,234.9,235.17,9679813.0
2024-11-29 09:30:00 EST,2024-11-29,09:30:00,234.84,235.69,233.97,235.64,3408902.0
2024-11-29 10:00:00 EST,2024-11-29,10:00:00,235.63,235.89,235.14,235.345,1875967.0
2024-11-29 10:30:00 EST,2024-11-29,10:30:00,235.35,235.84,235.34,235.81,1510875.0
2024-11-29 11:00:00 EST,2024-11-29,11:00:00,235.82,236.5999,235.75,236.4,2489186.0
2024-11-29 11:30:00 EST,2024-11-29,11:30:00,236.38,237.14,236.29,237.06,2008131.0
2024-11-29 12:00:00 EST,2024-11-29,12:00:00,237.06,237.15,236.36,236.36,1834940.0
2024-11-29 12:30:00 EST,2024-11-29,12:30:00,236.37,237.81,236.37,237.34,4532354.0
2024-11-29 13:00:00 EST,2024-11-29,13:00:00,237.33,237.9,237.29,237.49,10348666.0
2024-11-29 13:30:00 EST,2024-11-29,13:30:00,237.49,237.52,237.33,237.52,63553.0
2024-11-29 14:00:00 EST,2024-11-29,14:00:00,237.49,237.57,237.48,237.49,34658.0
