method,return_pct,total_trades,total_profit_loss,total_invested,stop_loss_triggers,trailing_stop_triggers,win_rate_pct
Once-Per-Day,36.56,606,96366.02,263600.0,28,168,100.0
Minute-by-Minute,68.19665322580647,34,16912.770000000004,24800.0,1,7,40.0
