Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,150.55,150.785,149.51,149.82,1120748.0,9980.0,149.9533579666667,2023-11-17,09:30:00,JNJ
2023-11-17 10:00:00-05:00,149.845,150.01,149.45,149.67,500812.0,11020.0,149.71288863333334,2023-11-17,10:00:00,JNJ
2023-11-17 10:30:00-05:00,149.64,149.82,149.41,149.46,228850.0,6856.0,149.55923286666666,2023-11-17,10:30:00,JNJ
2023-11-17 11:00:00-05:00,149.47,149.75,149.34,149.5,222869.0,3979.0,149.58378516666664,2023-11-17,11:00:00,JNJ
2023-11-17 11:30:00-05:00,149.51,149.53,149.32,149.41,287143.0,3766.0,149.41979626666668,2023-11-17,11:30:00,JNJ
2023-11-17 12:00:00-05:00,149.41,149.61,149.3575,149.3691,192995.0,3836.0,149.5005946,2023-11-17,12:00:00,JNJ
2023-11-17 12:30:00-05:00,149.37,149.505,149.21,149.28,170315.0,3376.0,149.382514,2023-11-17,12:30:00,JNJ
2023-11-17 13:00:00-05:00,149.27,149.37,149.065,149.25,208755.0,3728.0,149.22611263333334,2023-11-17,13:00:00,JNJ
2023-11-17 13:30:00-05:00,149.23,149.71,149.23,149.57,261294.0,3842.0,149.48126613333335,2023-11-17,13:30:00,JNJ
2023-11-17 14:00:00-05:00,149.56,149.6107,149.27,149.34,271027.0,4831.0,149.4626485,2023-11-17,14:00:00,JNJ
2023-11-17 14:30:00-05:00,149.32,149.37,149.2,149.33,203294.0,4574.0,149.30844059999998,2023-11-17,14:30:00,JNJ
2023-11-17 15:00:00-05:00,149.35,149.4806,149.235,149.4784,259435.0,5043.0,149.34597846666665,2023-11-17,15:00:00,JNJ
2023-11-17 15:30:00-05:00,149.49,149.86,149.225,149.82,1120796.0,15091.0,149.46300226666665,2023-11-17,15:30:00,JNJ
2023-11-17 16:00:00-05:00,149.79,149.8,149.76,149.76,1549139.0,106.0,149.785491125,2023-11-17,16:00:00,JNJ
2023-11-20 09:30:00-05:00,147.91,149.58,147.54,149.57,1034666.0,13178.0,149.0371753,2023-11-20,09:30:00,JNJ
2023-11-20 10:00:00-05:00,149.55,150.07,149.36,149.81,600419.0,13784.0,149.78932696666666,2023-11-20,10:00:00,JNJ
2023-11-20 10:30:00-05:00,149.8,150.12,149.65,149.95,479649.0,11750.0,149.88483746666668,2023-11-20,10:30:00,JNJ
2023-11-20 11:00:00-05:00,149.95,150.14,149.32,149.34,545103.0,7367.0,149.8266243,2023-11-20,11:00:00,JNJ
2023-11-20 11:30:00-05:00,149.36,149.8,149.355,149.72,278120.0,4770.0,149.6440552,2023-11-20,11:30:00,JNJ
2023-11-20 12:00:00-05:00,149.7,149.9273,149.54,149.555,319616.0,5007.0,149.75980339999998,2023-11-20,12:00:00,JNJ
2023-11-20 12:30:00-05:00,149.57,149.62,149.175,149.45,284565.0,5076.0,149.35249156666666,2023-11-20,12:30:00,JNJ
2023-11-20 13:00:00-05:00,149.44,149.72,149.42,149.545,322617.0,4617.0,149.5701374666667,2023-11-20,13:00:00,JNJ
2023-11-20 13:30:00-05:00,149.55,149.97,149.55,149.765,268870.0,4082.0,149.80291716666667,2023-11-20,13:30:00,JNJ
2023-11-20 14:00:00-05:00,149.765,149.9564,149.67,149.935,395523.0,6446.0,149.80348456666667,2023-11-20,14:00:00,JNJ
2023-11-20 14:30:00-05:00,149.93,150.29,149.93,150.03,410065.0,6336.0,150.0793301,2023-11-20,14:30:00,JNJ
2023-11-20 15:00:00-05:00,150.02,150.39,150.02,150.3305,467232.0,7684.0,150.1673277666667,2023-11-20,15:00:00,JNJ
2023-11-20 15:30:00-05:00,150.34,150.4,149.83,149.97,1615888.0,20435.0,150.18369866666666,2023-11-20,15:30:00,JNJ
2023-11-20 16:00:00-05:00,149.91,149.95,149.8,149.8,1797972.0,117.0,149.88458725,2023-11-20,16:00:00,JNJ
2023-11-21 09:30:00-05:00,150.1,150.55,149.61,150.01,563835.0,11377.0,149.96038813333334,2023-11-21,09:30:00,JNJ
2023-11-21 10:00:00-05:00,150.02,150.69,149.85,150.535,413795.0,12270.0,150.20909693333334,2023-11-21,10:00:00,JNJ
2023-11-21 10:30:00-05:00,150.55,150.595,150.28,150.55,307115.0,7381.0,150.44397410000002,2023-11-21,10:30:00,JNJ
2023-11-21 11:00:00-05:00,150.53,150.8371,150.43,150.5,235137.0,4956.0,150.64332586666666,2023-11-21,11:00:00,JNJ
2023-11-21 11:30:00-05:00,150.49,150.7854,150.47,150.77,344535.0,4442.0,150.66495616666668,2023-11-21,11:30:00,JNJ
2023-11-21 12:00:00-05:00,150.76,150.78,150.52,150.7,183041.0,3435.0,150.6108301,2023-11-21,12:00:00,JNJ
2023-11-21 12:30:00-05:00,150.7,150.79,150.46,150.62,207083.0,4036.0,150.66379263333334,2023-11-21,12:30:00,JNJ
2023-11-21 13:00:00-05:00,150.61,150.75,150.43,150.62,240502.0,4487.0,150.60243979999998,2023-11-21,13:00:00,JNJ
2023-11-21 13:30:00-05:00,150.6238,150.83,150.615,150.63,316071.0,4524.0,150.71707923333332,2023-11-21,13:30:00,JNJ
2023-11-21 14:00:00-05:00,150.63,150.79,150.39,150.56,345971.0,4580.0,150.5986563333333,2023-11-21,14:00:00,JNJ
2023-11-21 14:30:00-05:00,150.57,150.79,150.48,150.77,253574.0,4663.0,150.59682113333335,2023-11-21,14:30:00,JNJ
2023-11-21 15:00:00-05:00,150.785,150.91,150.7,150.85,312838.0,5834.0,150.81780419999998,2023-11-21,15:00:00,JNJ
2023-11-21 15:30:00-05:00,150.84,151.29,150.73,151.14,1005032.0,14206.0,151.05021656666668,2023-11-21,15:30:00,JNJ
2023-11-21 16:00:00-05:00,151.12,151.12,151.12,151.12,1117629.0,63.0,151.12,2023-11-21,16:00:00,JNJ
2023-11-22 09:30:00-05:00,151.63,152.04,150.95,150.98,530860.0,10037.0,151.41581076666668,2023-11-22,09:30:00,JNJ
2023-11-22 10:00:00-05:00,150.96,151.17,150.63,150.8973,303381.0,10683.0,150.91683613333333,2023-11-22,10:00:00,JNJ
2023-11-22 10:30:00-05:00,150.91,151.16,150.66,150.7713,333037.0,7495.0,150.94700026666666,2023-11-22,10:30:00,JNJ
2023-11-22 11:00:00-05:00,150.78,150.87,150.6599,150.68,238393.0,4604.0,150.77765853333332,2023-11-22,11:00:00,JNJ
2023-11-22 11:30:00-05:00,150.7,150.8556,150.53,150.84,177019.0,4053.0,150.69050526666666,2023-11-22,11:30:00,JNJ
2023-11-22 12:00:00-05:00,150.84,150.99,150.57,150.62,186760.0,4288.0,150.75648483333333,2023-11-22,12:00:00,JNJ
